id,born,site,died,sitename,lifespan,succ.years,leks,LMS,LMS_min,core
D154259,1999,TEE,2005,Teerisuo,6,NA,NA,NA,15,no core
D154280,2001,NYR,2003,Nyrölä,2,1,1,1,1,core
D154288,2001,NYR,2003,Nyrölä,2,1,1,1,1,core
D154299,2002,TEE,2005,Teerisuo,3,1,2,3,3,core
D211308,2001,NYR,2003,Nyrölä,2,1,2,1,1,core
D211312,2000,NYR,2005,Nyrölä,5,NA,NA,NA,1,no core
D211320,2001,NYR,2005,Nyrölä,4,2,2,14,14,core
D211334,2000,LEH,2006,Lehtusuo,6,NA,NA,NA,2,no core
D211341,2001,KUM,2004,Kummunsuo,3,1,2,3,3,core
D211349,2001,NYR,2004,Nyrölä,3,1,3,8,8,core
D211350,2001,NYR,2002,Nyrölä,1,0,1,0,0,core
D211374,2001,KUM,2005,Kummunsuo,4,1,2,2,2,core
D211376,2001,KUM,2006,Kummunsuo,5,1,4,5,5,core
D211385,2001,KUM,2005,Kummunsuo,4,0,3,0,0,core
D211401,2002,KUM,2003,Kummunsuo,1,0,1,0,0,core
D211403,2002,KUM,2003,Kummunsuo,1,0,1,0,0,core
D211411,2002,NYR,2004,Nyrölä,2,1,2,1,1,core
D211412,2002,NYR,2003,Nyrölä,1,0,1,0,0,core
D211431,2002,NYR,2005,Nyrölä,3,1,1,5,5,core
D211435,2002,KUM,2005,Kummunsuo,3,0,2,0,0,core
D211438,2002,KUM,2006,Kummunsuo,4,1,2,1,1,core
D211445,2001,TEE,2006,Teerisuo,5,NA,NA,NA,21,no core
D211450,2002,KUM,2004,Kummunsuo,2,0,2,0,0,core
D211451,2001,TEE,2003,Teerisuo,2,0,1,0,0,core
D211456,2001,KUM,2003,Kummunsuo,2,1,2,3,3,core
D211461,2001,NYR,2003,Nyrölä,2,1,1,1,1,core
D211474,2002,KUM,2006,Kummunsuo,4,0,4,0,0,core
D211478,2001,KUM,2004,Kummunsuo,3,1,3,2,2,core
D211482,2001,KUM,2003,Kummunsuo,2,0,2,0,0,core
D211489,2002,LEH,2005,Lehtusuo,3,NA,NA,NA,0,no core
D211490,2002,LEH,2004,Lehtusuo,2,1,1,4,4,core
D217810,2002,TEE,2004,Teerisuo,2,1,1,3,3,core
D217818,2002,KUM,2006,Kummunsuo,4,0,2,0,0,core
D217821,2002,NYR,2006,Nyrölä,4,3,3,7,7,core
D217831,2003,TEE,2006,Teerisuo,3,2,2,9,9,core
D217835,2003,TEE,2007,Teerisuo,4,3,4,10,10,core
D217864,2002,TEE,2004,Teerisuo,2,0,1,0,0,core
D217870,2003,NYR,2004,Nyrölä,1,0,1,0,0,core
D217891,2003,LEH,2005,Lehtusuo,2,0,2,0,0,core
D217896,2002,KUM,2008,Kummunsuo,6,NA,NA,NA,21,no core
D217897,2003,KUM,2006,Kummunsuo,3,0,2,0,0,core
D217910,2002,NYR,2006,Nyrölä,4,NA,NA,NA,0,no core
D217911,2002,NYR,2006,Nyrölä,4,NA,NA,NA,0,no core
D217932,2004,KUM,2006,Kummunsuo,2,0,1,0,0,core
D217947,2004,NYR,2008,Nyrölä,4,0,3,0,0,core
D217949,2004,NYR,2007,Nyrölä,3,2,2,16,16,core
D217961,2002,NYR,2007,Nyrölä,5,NA,NA,NA,3,no core
D217964,2002,NYR,2006,Nyrölä,4,NA,NA,NA,3,no core
D217965,2003,NYR,2007,Nyrölä,4,0,3,0,0,core
D217969,2003,KUM,2005,Kummunsuo,2,0,2,0,0,core
D217977,2002,KUM,2006,Kummunsuo,4,NA,NA,NA,6,no core
D217993,2003,TEE,2008,Teerisuo,5,1,3,1,1,core
D229025,2004,KUM,2007,Kummunsuo,3,NA,NA,NA,1,no core
D229032,2004,LEH,2008,Lehtusuo,4,2,3,11,11,core
D229043,2004,KUM,2006,Kummunsuo,2,1,2,2,2,core
D229051,2004,LEH,2008,Lehtusuo,4,0,2,0,0,core
D229055,2004,LEH,2005,Lehtusuo,1,0,1,0,0,core
D229056,2004,LEH,2006,Lehtusuo,2,1,2,1,1,core
D229063,2004,TEE,2006,Teerisuo,2,1,1,7,7,core
D229082,2004,NYR,2006,Nyrölä,2,NA,NA,NA,0,no core
D229093,2004,NYR,2006,Nyrölä,2,NA,NA,NA,0,no core
D229096,2004,NYR,2010,Nyrölä,6,3,4,15,15,core
D229097,2004,SAA,2006,Saarisuo,2,0,2,0,0,core
D229103,2004,SAA,2006,Saarisuo,2,0,1,0,0,core
D229126,2004,KUM,2007,Kummunsuo,3,1,3,1,1,core
D229133,2004,LEH,2008,Lehtusuo,4,1,4,2,2,core
D229154,2003,NYR,2007,Nyrölä,4,NA,NA,NA,2,no core
D229155,2004,TEE,2007,Teerisuo,3,1,2,1,1,core
D229160,2003,SAA,2007,Saarisuo,4,NA,NA,NA,51,no core
D229161,2003,SAA,2005,Saarisuo,2,NA,NA,NA,4,no core
D229162,2004,SAA,2007,Saarisuo,3,0,1,0,0,core
D229164,2004,KUM,2005,Kummunsuo,1,0,1,0,0,core
D229165,2003,KUM,2008,Kummunsuo,5,NA,NA,NA,1,no core
D229167,2004,KUM,2008,Kummunsuo,4,4,4,25,25,core
D229170,2004,SAA,2007,Saarisuo,3,2,2,15,15,core
D229171,2004,SAA,2006,Saarisuo,2,2,2,3,3,core
D229186,2004,SAA,2009,Saarisuo,5,5,5,21,21,core
D229192,2004,KUM,2006,Kummunsuo,2,1,2,2,2,core
D229193,2004,KUM,2009,Kummunsuo,5,3,4,23,23,core
D229509,2005,KUM,2008,Kummunsuo,3,NA,NA,NA,0,no core
D229512,2005,KUM,2007,Kummunsuo,2,1,1,2,2,core
D229518,2005,LEH,2006,Lehtusuo,1,0,1,0,0,core
D229556,2005,NYR,2008,Nyrölä,3,1,1,3,3,core
D229560,2005,LEH,2006,Lehtusuo,1,0,1,0,0,core
D229599,2006,KUM,2009,Kummunsuo,3,0,2,0,0,core
D229630,2005,LEH,2007,Lehtusuo,2,1,1,2,2,core
D229633,2004,SAA,2008,Saarisuo,4,NA,NA,NA,0,no core
D229635,2005,KUM,2007,Kummunsuo,2,1,1,1,1,core
D229638,2005,SAA,2007,Saarisuo,2,0,1,0,0,core
D229646,2005,LEH,2008,Lehtusuo,3,1,3,15,15,core
D229648,2005,LEH,2007,Lehtusuo,2,0,1,0,0,core
D229658,2005,KUM,2009,Kummunsuo,4,2,4,2,2,core
D229675,2005,TEE,2006,Teerisuo,1,0,1,0,0,core
D229676,2005,TEE,2006,Teerisuo,1,1,1,1,1,core
D229679,2004,KUM,2008,Kummunsuo,4,NA,NA,NA,11,no core
D229705,2005,TEE,2011,Teerisuo,6,3,4,9,9,core
D229707,2005,TEE,2007,Teerisuo,2,0,1,0,0,core
D229714,2005,NYR,2006,Nyrölä,1,1,1,1,1,core
D229716,2005,NYR,2006,Nyrölä,1,1,1,1,1,core
D229718,2005,NYR,2009,Nyrölä,4,1,2,4,4,core
D229721,2005,KUM,2008,Kummunsuo,3,2,3,2,2,core
D229734,2004,KUM,2008,Kummunsuo,4,NA,NA,NA,0,no core
D229735,2005,KUM,2007,Kummunsuo,2,0,1,0,0,core
D229737,2005,KUM,2009,Kummunsuo,4,2,4,3,3,core
D229740,2005,LEH,2008,Lehtusuo,3,0,1,0,0,core
D229742,2005,LEH,2009,Lehtusuo,4,0,4,0,0,core
D229753,2005,TEE,2008,Teerisuo,3,2,3,6,6,core
D229759,2005,SAA,2008,Saarisuo,3,2,2,19,19,core
D229770,2005,NYR,2006,Nyrölä,1,0,1,0,0,core
D229771,2004,NYR,2006,Nyrölä,2,NA,NA,NA,0,no core
D229772,2005,NYR,2008,Nyrölä,3,0,2,0,0,core
D229775,2005,SAA,2007,Saarisuo,2,NA,NA,NA,0,no core
D229776,2005,LEH,2008,Lehtusuo,3,0,1,0,0,core
D229777,2005,SAA,2008,Saarisuo,3,1,3,1,1,core
D229780,2005,SAA,2008,Saarisuo,3,1,2,2,2,core
D229783,2004,NYR,2008,Nyrölä,4,NA,NA,NA,7,no core
D229784,2005,NYR,2008,Nyrölä,3,0,3,0,0,core
D237206,2005,KUM,2008,Kummunsuo,3,1,2,3,3,core
D237232,2006,SAA,2008,Saarisuo,2,1,2,1,1,core
D237235,2007,KUM,2008,Kummunsuo,1,0,1,0,0,core
D237258,2006,KUM,2012,Kummunsuo,6,1,6,15,15,core
D237276,2006,NYR,2008,Nyrölä,2,0,1,0,0,core
D237277,2005,NYR,2007,Nyrölä,2,NA,NA,NA,2,no core
D237278,2005,NYR,2007,Nyrölä,2,NA,NA,NA,1,no core
D237300,2006,LEH,2007,Lehtusuo,1,0,1,0,0,core
D237304,2006,TEE,2008,Teerisuo,2,0,1,0,0,core
D237307,2006,LEH,2008,Lehtusuo,2,0,1,0,0,core
D237310,2006,KUM,2008,Kummunsuo,2,0,1,0,0,core
D237311,2006,KUM,2009,Kummunsuo,3,1,3,2,2,core
D237313,2006,KUM,2012,Kummunsuo,6,1,5,1,1,core
D237325,2006,KUM,2008,Kummunsuo,2,0,1,0,0,core
D237337,2006,KUM,2010,Kummunsuo,4,1,4,2,2,core
D237339,2006,KUM,2009,Kummunsuo,3,1,2,4,4,core
D237340,2006,KUM,2010,Kummunsuo,4,1,4,1,1,core
D237352,2006,NYR,2007,Nyrölä,1,0,1,0,0,core
D237355,2006,SAA,2007,Saarisuo,1,0,1,0,0,core
D237360,2006,NYR,2007,Nyrölä,1,0,1,0,0,core
D237361,2006,NYR,2008,Nyrölä,2,1,2,7,7,core
D237369,2006,SAA,2007,Saarisuo,1,0,1,0,0,core
D237370,2006,SAA,2007,Saarisuo,1,NA,NA,NA,0,no core
D237371,2006,SAA,2007,Saarisuo,1,0,1,0,0,core
D237378,2006,NYR,2007,Nyrölä,1,1,1,3,3,core
D237379,2005,NYR,2007,Nyrölä,2,NA,NA,NA,1,no core
D237385,2006,TEE,2008,Teerisuo,2,0,2,0,0,core
D237389,2006,KUM,2008,Kummunsuo,2,0,2,0,0,core
D237391,2006,NYR,2011,Nyrölä,5,2,4,8,8,core
D237394,2006,NYR,2008,Nyrölä,2,2,2,18,18,core
D243901,2007,NYR,2009,Nyrölä,2,0,1,0,0,core
D243906,2007,LEH,2008,Lehtusuo,1,0,1,0,0,core
D243907,2007,LEH,2008,Lehtusuo,1,0,1,0,0,core
D243916,2007,NYR,2009,Nyrölä,2,0,1,0,0,core
D243918,2007,NYR,2008,Nyrölä,1,0,1,0,0,core
D243930,2007,KUM,2013,Kummunsuo,6,0,4,0,0,core
D243937,2007,KUM,2010,Kummunsuo,3,0,2,0,0,core
D243940,2007,KUM,2008,Kummunsuo,1,0,1,0,0,core
D243950,2007,LEH,2009,Lehtusuo,2,1,2,6,6,core
D244017,2006,KUM,2009,Kummunsuo,3,0,2,0,0,core
D244025,2007,TEE,2010,Teerisuo,3,1,2,5,5,core
D244027,2007,TEE,2013,Teerisuo,6,2,4,2,2,core
D244029,2007,SAA,2008,Saarisuo,1,0,1,0,0,core
D244032,2007,NYR,2010,Nyrölä,3,1,2,9,9,core
D244033,2007,NYR,2008,Nyrölä,1,0,1,0,0,core
D244042,2007,LEH,2008,Lehtusuo,1,0,1,0,0,core
D244045,2007,SAA,2008,Saarisuo,1,0,1,0,0,core
D244054,2007,LEH,2008,Lehtusuo,1,0,1,0,0,core
D244055,2007,LEH,2010,Lehtusuo,3,1,1,1,1,core
D244073,2007,SAA,2009,Saarisuo,2,0,1,0,0,core
D244077,2007,NYR,2008,Nyrölä,1,0,1,0,0,core
D244083,2007,LEH,2009,Lehtusuo,2,0,2,0,0,core
D244086,2007,SAA,2009,Saarisuo,2,0,1,0,0,core
D244087,2007,SAA,2008,Saarisuo,1,0,1,0,0,core
D244090,2007,LEH,2008,Lehtusuo,1,0,1,0,0,core
D244123,2006,SAA,2008,Saarisuo,2,1,1,2,2,core
D244139,2007,KUM,2008,Kummunsuo,1,0,1,0,0,core
D244143,2007,KUM,2008,Kummunsuo,1,0,1,0,0,core
D244144,2007,KUM,2008,Kummunsuo,1,0,1,0,0,core
D244147,2007,KUM,2009,Kummunsuo,2,0,2,0,0,core
D244162,2007,NYR,2009,Nyrölä,2,0,1,0,0,core
D244163,2007,NYR,2008,Nyrölä,1,0,1,0,0,core
D244168,2007,NYR,2012,Nyrölä,5,1,5,6,6,core
D244179,2007,NYR,2010,Nyrölä,3,0,1,0,0,core
D244183,2007,KUM,2011,Kummunsuo,4,3,3,5,5,core
D244186,2007,KUM,2012,Kummunsuo,5,3,4,24,24,core
D247994,2008,NYR,2010,Nyrölä,2,0,1,0,0,core
D229516,2005,LEH,2007,Lehtusuo,2,2,2,5,5,core
D229054,2004,LEH,2006,Lehtusuo,2,0,1,0,0,core
D237233,2006,SAA,2008,Saarisuo,2,0,1,0,0,core
D237327,2006,KUM,2008,Kummunsuo,2,1,2,2,2,core
D237396,2006,NYR,2008,Nyrölä,2,0,1,0,0,core
D244001,2006,LEH,2008,Lehtusuo,2,0,1,0,0,core
D244005,2006,SAA,2009,Saarisuo,3,2,3,32,32,core
D244112,2006,KUM,2008,Kummunsuo,2,1,2,7,7,core
D244121,2006,SAA,2008,Saarisuo,2,1,1,5,5,core
