id	n_total	n_genotyped	load_t_v2
D154259	5130	4434	0.15313486693730266
D154280	5130	4736	0.15603885135135134
D154299	5130	4599	0.15111980865405522
D229167	5130	4940	0.15242914979757086
D229170	5130	4889	0.15146246676211905
D211308	5130	4785	0.15203761755485892
D211312	5130	4678	0.1516673792218897
D211320	5130	4805	0.1509885535900104
D211334	5130	3913	0.148479427549195
D211341	5130	4865	0.15210688591983557
D211349	5130	4840	0.15444214876033058
D211350	5130	5033	0.15418239618517782
D211374	5130	4963	0.152327221438646
D211385	5130	4202	0.15254640647310805
D211401	5130	4423	0.15566357675785666
D211403	5130	4374	0.15352080475537266
D211411	5130	5029	0.1563929210578644
D211412	5130	4955	0.15338042381432895
D211431	5130	4869	0.15136578352844526
D211435	5130	4990	0.1535070140280561
D211438	5130	5012	0.1544293695131684
D211445	5130	4550	0.15076923076923077
D211450	5130	4986	0.1565383072603289
D211451	5130	4331	0.15146617409374277
D211456	5130	3724	0.1476906552094522
D211461	5130	4983	0.15041139875576962
D211474	5130	4358	0.15454336851766864
D211478	5130	5029	0.15470272419964207
D211482	5130	5007	0.14699420810864788
D211489	5130	4926	0.15205034510759236
D211490	5130	4656	0.15496134020618557
D217810	5130	4937	0.15221794612112619
D217818	5130	4527	0.1533024077755688
D217821	5130	4814	0.16088491898628998
D217831	5130	4584	0.14888743455497383
D217835	5130	4376	0.15596435100548445
D217864	5130	4638	0.15168175937904269
D217870	5130	4899	0.15350071443151664
D217891	5130	4398	0.14824920418371987
D217896	5130	4690	0.155863539445629
D217897	5130	4652	0.15090283748925193
D217910	5130	4671	0.15146649539713122
D217911	5130	4666	0.1522717531075868
D217932	5130	3889	0.15299562869632297
D217947	5130	4033	0.15261591867096455
D217949	5130	4973	0.1523225417253167
D217961	5130	4545	0.1504950495049505
D217964	5130	4982	0.14843436370935367
D217965	5130	4676	0.1550470487596236
D217969	5130	4229	0.15121778198155592
D217977	5130	4902	0.15136678906568748
D217993	5130	4385	0.15142531356898517
D229025	5130	4387	0.15158422612263506
D229032	5130	4349	0.14991952172913314
D229043	5130	4332	0.1456602031394275
D229051	5130	4055	0.1532675709001233
D229054	5130	4539	0.15609165014320334
D229055	5130	4189	0.15313917402721414
D229056	5130	4837	0.1551581558817449
D229063	5130	4626	0.14969736273238218
D229082	5130	4570	0.15448577680525163
D229093	5130	4928	0.1544237012987013
D229096	5130	4885	0.15598771750255885
D229097	5130	4746	0.14907290349768226
D229103	5130	4554	0.14909969257795344
D229126	5130	4835	0.15305067218200621
D229133	5130	4693	0.15384615384615385
D229154	5130	4764	0.15155331654072207
D229155	5130	4808	0.15006239600665558
D229160	5130	4706	0.15320866978325542
D229161	5130	4631	0.1496437054631829
D229162	5130	4959	0.1525509175236943
D229164	5130	4709	0.15066893183266086
D229165	5130	4236	0.15191218130311615
D229186	5130	4479	0.15181960258986382
D229192	5130	4455	0.15555555555555556
D229193	5130	4328	0.1463724584103512
D229512	5130	4978	0.15437926878264363
D229599	5130	4983	0.15633152719245436
D229633	5130	4601	0.15681373614431646
D229648	5130	4993	0.15011015421590226
D229658	5130	4745	0.15121180189673342
D229676	5130	5003	0.15540675594643213
D229679	5130	4458	0.15029161058770749
D229705	5130	4749	0.1492945883343862
D229707	5130	4869	0.151879235982748
D229714	5130	4568	0.14995621716287216
D229716	5130	4959	0.15456745311554748
D229718	5130	4993	0.15221309833767274
D229721	5130	4952	0.15064620355411953
D229734	5130	4914	0.15323565323565325
D229737	5130	4983	0.15071242223560105
D229740	5130	4766	0.16009232060428033
D229742	5130	4833	0.15570039313056072
D229759	5130	4828	0.15296188898094448
D229770	5130	4688	0.15177047781569966
D229771	5130	4937	0.15464857200729187
D229772	5130	4302	0.1496978149697815
D229775	5130	4467	0.15177971793149764
D229776	5130	4958	0.15318676885841065
D229780	5130	4945	0.15429726996966633
D229783	5130	4890	0.15674846625766872
D229784	5130	4532	0.15158870255957635
D237206	5130	5038	0.1515482334259627
D237232	5130	4925	0.150253807106599
D237233	5130	4772	0.1544425817267393
D237235	5130	4989	0.15634395670475046
D237258	5130	4782	0.1532831451275617
D237276	5130	4379	0.1511760675953414
D237277	5130	4704	0.15837585034013604
D237278	5130	5011	0.15446018758730792
D237300	5130	4955	0.15297679112008072
D237304	5130	4666	0.15687955422203173
D237307	5130	4530	0.1530905077262693
D237310	5130	4555	0.15236004390779365
D237311	5130	4737	0.15368376609668566
D237313	5130	4992	0.1599559294871795
D237325	5130	4992	0.15204326923076922
D237327	5130	4901	0.15486635380534586
D237337	5130	5001	0.15626874625074985
D237339	5130	4941	0.15583889900829792
D237340	5130	4962	0.15507859733978235
D237352	5130	4630	0.15259179265658748
D237355	5130	4824	0.15360696517412936
D237360	5130	4983	0.1525185631145896
D237361	5130	4673	0.1537556173764177
D237369	5130	4810	0.15405405405405406
D237370	5130	4664	0.1489065180102916
D237371	5130	4810	0.1521829521829522
D237378	5130	4870	0.15051334702258726
D237379	5130	4124	0.14779340446168768
D237385	5130	4932	0.14993917274939172
D237389	5130	4621	0.15559402726682536
D237391	5130	4929	0.1557110975857172
D237394	5130	4718	0.1543026706231454
D243901	5130	5000	0.1551
D243906	5130	4534	0.15152183502426114
D243907	5130	4918	0.15402602684017894
D243916	5130	5013	0.1512068621583882
D243918	5130	4970	0.1601609657947686
D243930	5130	4976	0.151225884244373
D243937	5130	4977	0.1523005826803295
D243940	5130	4998	0.15356142456982794
D243950	5130	5004	0.15377697841726617
D244001	5130	5009	0.15322419644639648
D244005	5130	4882	0.15249897582957805
D244017	5130	4914	0.1515059015059015
D244025	5130	5005	0.15074925074925075
D244027	5130	4981	0.15769925717727365
D244029	5130	4989	0.15323712166766887
D244032	5130	4868	0.14913722267871815
D244033	5130	4997	0.1464878927356414
D244042	5130	5007	0.15618134611543838
D244045	5130	5006	0.15381542149420696
D244054	5130	5016	0.15161483253588517
D244055	5130	5031	0.15354800238521168
D244073	5130	5009	0.15392293871032142
D244077	5130	5040	0.15416666666666667
D244083	5130	4998	0.1486594637855142
D244086	5130	5028	0.15254574383452665
D244087	5130	5024	0.15545382165605096
D244090	5130	5009	0.1578159313236175
D244112	5130	4984	0.14907704654895665
D244123	5130	4985	0.1530591775325978
D244139	5130	4956	0.15435835351089588
D244143	5130	5017	0.15816224835559098
D244144	5130	4944	0.14785598705501618
D244147	5130	4990	0.15150300601202404
D244162	5130	4970	0.15432595573440644
D244163	5130	4979	0.15505121510343442
D244168	5130	5018	0.15334794738939816
D244179	5130	4829	0.15365500103541105
D244183	5130	5042	0.15509718365727887
D244186	5130	5005	0.14855144855144856
D247994	5130	4872	0.1520935960591133
D154288	5130	5007	0.15268623926502897
D229171	5130	4478	0.14638231353282716
D211376	5130	4997	0.1550930558335001
D229509	5130	4999	0.15473094618923786
D229518	5130	4968	0.15287842190016104
D229556	5130	4859	0.14653220827330726
D229560	5130	4964	0.15592264302981468
D229630	5130	4957	0.14898123865241072
D229635	5130	5021	0.15315674168492333
D229638	5130	4977	0.15199919630299377
D229646	5130	5010	0.15259481037924152
D229675	5130	4875	0.15671794871794872
D229735	5130	4467	0.15592119991045444
D229753	5130	4915	0.1476093591047813
D229777	5130	4987	0.15229596952075397
