parameter,median,ci_95,ci_80
b_Intercept,1.73,0.91, 2.36,1.31, 2.08
b_scaletotal_load,-0.21,-0.27, -0.14,-0.25, -0.17
b_coreno_core,0.33,0.14, 0.51,0.2, 0.45
sd_site__Intercept,0.59,0.29, 1.86,0.37, 1.14
zi,0.49,0.42, 0.57,0.45, 0.54
r_site[KUM,Intercept],-0.05,-0.68, 0.77,-0.41, 0.38
r_site[LEH,Intercept],-0.43,-1.16, 0.33,-0.84, -0.02
r_site[NYR,Intercept],-0.19,-0.82, 0.61,-0.54, 0.26
r_site[SAA,Intercept],0.79,0.17, 1.59,0.43, 1.23
r_site[TEE,Intercept],0.1,-0.52, 0.93,-0.26, 0.51
lprior,-5.88,-6.26, -5.64,-6.06, -5.73
lp__,-580.53,-586.9, -576.58,-584.37, -577.66
